Pet,Rarity,Trait_1,Rank_1,Trait_2,Rank_2
莎兔,普通宠物,体贴,C,迟钝,C
迷你莉1莉,稀有宠物,自信,A,敏锐,C
迷你刻耳柏洛斯,稀有宠物,迟钝,A,体贴,C
迷你猫咪,稀有宠物,敏锐,A,自信,C
迷你车市长大人,稀有宠物,体贴,A,亲密,C
鼠克,普通宠物,活泼,C,自信,C
芝士猫,高级宠物,活泼,B,体贴,C
复读叽,高级宠物,敏锐,B,亲密,C
奇克金,稀有宠物,活泼,A,自信,C
厚毛猬,稀有宠物,敏锐,A,迟钝,C
羊驼,稀有宠物,迟钝,A,体贴,C
兴奋浣熊,稀有宠物,活泼,A,体贴,C
小黑,稀有宠物,亲密,A,活泼,C
磨蹭大王,稀有宠物,体贴,A,迟钝,C
真博,稀有宠物,迟钝,A,敏锐,C
胖胖猕猴桃,稀有宠物,自信,A,活泼,C
独角仙,稀有宠物,亲密,A,迟钝,C
偶像,传说宠物,亲密,S,迟钝,B
青龙,传说宠物,活泼,S,自信,B
迷你市长大人,传说宠物,自信,S,敏锐,B
跳跳鲸,传说宠物,迟钝,S,体贴,B
迷你斯皮奇,传说宠物,活泼,S,自信,B
迷你埃皮独角兽,稀有宠物,亲密,A,活泼,C
宝贝河马,稀有宠物,亲密,A,体贴,C
布罗芬,稀有宠物,活泼,A,亲密,C
粉红杜鹃,稀有宠物,亲密,A,活泼,C
喵喵果冻,稀有宠物,体贴,A,迟钝,C
泼皮鸟,稀有宠物,敏锐,A,亲密,C
迷你黄油,传说宠物,自信,S,体贴,B
迷你纳塔,传说宠物,敏锐,S,活泼,B
迷你柯米,传说宠物,敏锐,S,迟钝,B
脆皮海豹,稀有宠物,自信,A,敏锐,C
