Pet,Rarity,Trait_1,Rank_1,Trait_2,Rank_2
蘋果兔,普通寵物,體貼,C,遲鈍,C
起司貓,高級寵物,活潑,B,體貼,C
迷你莉1莉,稀有寵物,自信,A,敏銳,C
迷你可魯柏洛斯,稀有寵物,遲鈍,A,體貼,C
迷你M.E.O.W,稀有寵物,敏銳,A,自信,C
迷你車市長,稀有寵物,體貼,A,聯繫,C
迷你艾比康,稀有寵物,聯繫,A,活潑,C
迷你斯嗶奇,傳說寵物,活潑,S,自信,B
迷你奶油,傳說寵物,自信,S,體貼,B
迷你柯米,傳說寵物,敏銳,S,遲鈍,B
魔卡龍鼠,普通寵物,活潑,C,自信,C
利嗶,高級寵物,敏銳,B,聯繫,C
咕咕企鵝,稀有寵物,活潑,A,自信,C
奇異果鳥,稀有寵物,自信,A,活潑,C
混混鳥,稀有寵物,敏銳,A,聯繫,C
普拿咚,稀有寵物,活潑,A,聯繫,C
廢柴,稀有寵物,遲鈍,A,敏銳,C
球球,稀有寵物,體貼,A,遲鈍,C
獨小仙,稀有寵物,聯繫,A,遲鈍,C
小黑,稀有寵物,聯繫,A,活潑,C
軟喵果凍,稀有寵物,體貼,A,遲鈍,C
快樂浣熊,稀有寵物,活潑,A,體貼,C
羊駝羊,稀有寵物,遲鈍,A,體貼,C
毛毛刺猬,稀有寵物,敏銳,A,遲鈍,C
富農杜鵑花,稀有寵物,聯繫,A,活潑,C
貝貝河莽,稀有寵物,聯繫,A,體貼,C
青龍,傳說寵物,活潑,S,自信,B
跳跳鯨,傳說寵物,遲鈍,S,體貼,B
迷你市長,傳說寵物,自信,S,敏銳,B
迷你娜塔,傳說寵物,敏銳,S,活潑,B
石寶寶,傳說寵物,聯繫,S,遲鈍,B
酥脆海豹,稀有寵物,自信,A,敏銳,C
迷你耶魯,傳說寵物,體貼,S,聯繫,B
三頭肌胡蘿蔔,稀有寵物,遲鈍,A,自信,C
墨汁香腸,稀有寵物,活潑,A,聯繫,C
罐頭貓,傳說寵物,聯繫,S,體貼,B
