Pet,Rarity,Trait_1,Rank_1,Trait_2,Rank_2
Sato,Normal,Kind,C,Dull,C
Cheese Cat,Rare,Brisk,B,Kind,C
Petit L1ly,Unique,Bold,A,Keen,C
Petit Cerberus,Unique,Dull,A,Kind,C
Petit M.E.O.W,Unique,Keen,A,Bold,C
Minicar Mayor,Unique,Kind,A,Bond,C
Petite Epicon,Unique,Bond,A,Brisk,C
Petite Speaki,Legendary,Brisk,S,Bold,B
Petite Butter,Legendary,Bold,S,Kind,B
Petite Komi,Legendary,Keen,S,Dull,B
Coque,Normal,Brisk,C,Bold,C
Repeat,Rare,Keen,B,Bond,C
Chickguin,Unique,Brisk,A,Bold,C
Opentop Kiwibird,Unique,Bold,A,Brisk,C
Busta Wing,Unique,Keen,A,Bond,C
Pangel Q,Unique,Brisk,A,Bond,C
Lazybones,Unique,Dull,A,Keen,C
Ms. Wiggles,Unique,Kind,A,Dull,C
Rhino Beetle,Unique,Bond,A,Dull,C
Inky,Unique,Bond,A,Brisk,C
Jellycat,Unique,Kind,A,Dull,C
Razzleoon,Unique,Brisk,A,Kind,C
Sheepaca,Unique,Dull,A,Kind,C
Hedgefluffog,Unique,Keen,A,Dull,C
Farmer Azalea,Unique,Bond,A,Brisk,C
Lil Hippo,Unique,Bond,A,Kind,C
Azure Dragon,Legendary,Brisk,S,Bold,B
Bouncing Whale,Legendary,Dull,S,Kind,B
Petit Mayor,Legendary,Bold,S,Keen,B
Petite Nata,Legendary,Keen,S,Brisk,B
Rolling Stone,Legendary,Bond,S,Dull,B
Seal Tempura,Unique,Bold,A,Keen,C
